"","정류장","1004-1","1004","1005-1","1005","203-1","203","204-1","204","222-1","222","52","53","601-1","601","summ/stop"
"1","가득초등학교(새뜸마을3,4단지)",NA,NA,2805,661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733
"2","가락마을10,13단지",4166,1335,5295,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2838.5
"3","가락마을17,18단지",4216,2138,3730,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2577.25
"4","가락마을22단지",1873,1531,1222,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273.5
"5","가락마을6단지",NA,NA,3148,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1695
"6","가락마을9,11단지",1999,861,3732,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1741.5
"7","가람동(이마트앞)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,970,NA,NA,629.5
"8","가온마을2,3단지",NA,NA,NA,NA,5740,2209,NA,NA,NA,NA,NA,NA,NA,NA,3974.5
"9","가온마을4,7단지",3944,3613,2946,2952,1920,905,1097,4526,4732,4756,NA,NA,NA,NA,3139.1
"10","가온마을6,9단지",3018,1267,1828,881,3228,800,2362,2184,6147,2399,NA,NA,NA,NA,2411.4
"11","가재마을11단지",NA,3213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3213
"12","가재마을5,8단지",10287,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6152.5
"13","가재마을7,12단지",5554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5554
"14","가재마을9, 10단지",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554,236,NA,NA,395
"15","고운동(만남로)",610,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405
"16","고운동커뮤니티센터남측",3385,1119,7233,1347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3271
"17","고운동커뮤니티센터북측",1482,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1061
"18","공정거래위원회",NA,NA,NA,NA,404,594,970,380,2143,2775,858,669,NA,NA,1099.125
"19","과학기술정보통신",NA,NA,NA,NA,2612,1212,NA,NA,NA,NA,1266,1151,NA,NA,1560.25
"20","국립세종도서관",NA,NA,NA,NA,NA,NA,NA,NA,2519,2521,NA,NA,NA,NA,2520
"21","국립세종도서관정문",NA,NA,NA,NA,334,419,594,17,NA,NA,NA,NA,NA,NA,341
"22","국책연구단지북측",NA,NA,NA,NA,NA,NA,NA,NA,411,3703,NA,NA,317,2453,1721
"23","글벗중학교(새샘마을9단지)",NA,NA,NA,NA,NA,NA,NA,NA,218,3785,NA,NA,193,2812,1752
"24","나릿재마을",NA,NA,NA,NA,1917,626,NA,NA,NA,NA,756,1387,NA,NA,1171.5
"25","다빛초등학교(가온마을3단지)",NA,NA,3800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3800
"26","다빛초등학교(가재마을1단지)",NA,NA,NA,648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648
"27","다정고등학교(가온마을1단지)",NA,NA,NA,NA,4045,2182,NA,NA,NA,NA,NA,NA,NA,NA,3113.5
