"","동","버스 운행 수","카메라대수","기업종업원수","보건소수","일반음식점수","약국수","등록 이륜차수","등록 자동차수","체육시설수","부동산중개업사무소수","공중위생업소수","소독의무시설수","인구수"
"1","고운동",21,121,13,0,137,8,410,15375,20,76,54,82,34602
"2","금남면",26,347,482,2,181,3,830,4017,11,48,22,73,9279
"3","다정동",25,33,0,0,63,7,234,9454,13,80,38,40,28549
"4","대평동",52,87,0,0,82,5,133,5220,8,46,31,43,11348
"5","도담동",29,55,19,0,194,16,364,27350,13,80,43,62,41256
"6","보람동",28,88,0,0,221,6,211,9034,17,86,48,86,19458
"7","부강면",21,131,4180,1,143,5,631,2918,11,24,19,125,6488
"8","새롬동",10,40,0,0,104,7,358,15053,14,88,36,58,34192
"9","소담동",28,74,0,0,79,6,327,14651,10,76,29,56,34484
"10","소정면",10,67,891,1,46,1,192,1130,3,1,5,15,2540
"11","아름동",15,41,0,0,131,12,284,20688,27,39,34,76,23685
"12","연기면",33,117,761,1,38,1,638,1281,6,22,9,59,2864
"13","연동면",18,74,4313,2,38,0,524,1520,2,33,2,63,3585
"14","연서면",27,110,1714,3,98,2,1345,3350,7,48,15,130,7625
"15","장군면",19,109,874,2,141,2,676,3316,13,52,20,100,7475
"16","전동면",18,68,2325,2,30,0,406,1446,2,2,2,67,3542
"17","전의면",20,116,4749,2,119,2,486,2471,8,13,18,133,5942
"18","조치원읍",56,514,1091,1,805,30,2863,17657,66,122,181,376,44689
"19","종촌동",21,22,46,0,104,11,366,12375,14,48,40,53,29571
"20","한솔동",14,52,0,0,83,4,253,8232,8,44,17,40,19027
